Timestamp,Value
2026-01-02T23:56:19.802Z,50.385593
2026-01-02T23:56:19.999Z,55.281475
2026-01-02T23:56:20.198Z,49.826065
2026-01-02T23:56:20.397Z,60.624977
2026-01-02T23:56:20.594Z,54.05051
2026-01-02T23:56:20.795Z,59.617825
2026-01-02T23:56:20.994Z,62.974998
2026-01-02T23:56:21.195Z,57.351734
2026-01-02T23:56:21.395Z,54.777897
2026-01-02T23:56:21.605Z,54.106464
2026-01-02T23:56:21.807Z,58.890438
2026-01-02T23:56:22.011Z,58.358883
2026-01-02T23:56:22.214Z,55.169567
2026-01-02T23:56:22.405Z,55.449333
2026-01-02T23:56:22.608Z,47.867714
2026-01-02T23:56:22.803Z,65.828598
2026-01-02T23:56:23.003Z,56.344582
2026-01-02T23:56:23.207Z,72.235207
2026-01-02T23:56:23.412Z,54.554089
2026-01-02T23:56:23.617Z,69.35363
2026-01-02T23:56:23.814Z,62.0238
2026-01-02T23:56:24.013Z,66.444077
2026-01-02T23:56:24.222Z,54.721947
2026-01-02T23:56:24.413Z,53.714794
2026-01-02T23:56:24.626Z,62.919048
2026-01-02T23:56:24.827Z,64.038109
2026-01-02T23:56:25.026Z,64.094055
2026-01-02T23:56:25.221Z,60.904743
2026-01-02T23:56:25.420Z,57.743404
2026-01-02T23:56:25.617Z,53.211216
2026-01-02T23:56:25.817Z,60.345215
2026-01-02T23:56:26.018Z,51.168938
2026-01-02T23:56:26.234Z,60.904743
2026-01-02T23:56:26.431Z,56.344582
2026-01-02T23:56:26.628Z,47.81176
2026-01-02T23:56:26.837Z,66.723846
2026-01-02T23:56:27.026Z,56.792202
2026-01-02T23:56:27.239Z,61.799988
2026-01-02T23:56:27.440Z,50.553455
2026-01-02T23:56:27.635Z,53.714794
2026-01-02T23:56:27.834Z,77.382874
2026-01-02T23:56:28.039Z,57.68745
2026-01-02T23:56:28.232Z,53.379074
2026-01-02T23:56:28.433Z,50.105831
2026-01-02T23:56:28.634Z,55.057663
2026-01-02T23:56:28.837Z,51.728466
2026-01-02T23:56:29.036Z,59.449966
2026-01-02T23:56:29.235Z,57.016014
2026-01-02T23:56:29.436Z,55.561241
2026-01-02T23:56:29.651Z,60.009495
2026-01-02T23:56:29.852Z,60.401165
2026-01-02T23:56:30.045Z,70.192924
2026-01-02T23:56:30.248Z,56.12077
2026-01-02T23:56:30.447Z,56.17672
2026-01-02T23:56:30.644Z,74.249512
2026-01-02T23:56:30.843Z,50.497501
2026-01-02T23:56:31.046Z,50.777264
2026-01-02T23:56:31.243Z,63.646435
2026-01-02T23:56:31.452Z,66.164314
2026-01-02T23:56:31.651Z,68.514336
2026-01-02T23:56:31.856Z,53.26717
2026-01-02T23:56:32.053Z,72.347115
2026-01-02T23:56:32.262Z,69.073868
2026-01-02T23:56:32.465Z,52.987404
2026-01-02T23:56:32.661Z,60.680931
2026-01-02T23:56:32.852Z,56.344582
2026-01-02T23:56:33.058Z,51.4487
2026-01-02T23:56:33.255Z,56.90411
2026-01-02T23:56:33.466Z,61.072601
2026-01-02T23:56:33.670Z,60.289261
2026-01-02T23:56:33.862Z,54.05051
2026-01-02T23:56:34.061Z,56.624344
2026-01-02T23:56:34.263Z,54.498135
2026-01-02T23:56:34.463Z,56.51244
2026-01-02T23:56:34.671Z,69.017914
2026-01-02T23:56:34.874Z,66.220268
2026-01-02T23:56:35.077Z,64.877396
2026-01-02T23:56:35.278Z,62.471424
2026-01-02T23:56:35.475Z,63.534531
2026-01-02T23:56:35.672Z,57.911263
2026-01-02T23:56:35.867Z,66.444077
2026-01-02T23:56:36.067Z,55.057663
2026-01-02T23:56:36.268Z,65.157166
2026-01-02T23:56:36.480Z,61.855942
2026-01-02T23:56:36.677Z,40.677765
2026-01-02T23:56:36.874Z,59.785683
2026-01-02T23:56:37.072Z,48.091526
2026-01-02T23:56:37.275Z,66.555984
2026-01-02T23:56:37.475Z,68.066711
2026-01-02T23:56:37.673Z,68.234573
2026-01-02T23:56:37.891Z,61.799988
2026-01-02T23:56:38.090Z,66.723846
2026-01-02T23:56:38.283Z,65.99646
2026-01-02T23:56:38.484Z,77.886452
2026-01-02T23:56:38.681Z,62.247612
2026-01-02T23:56:38.885Z,86.307365
2026-01-02T23:56:39.084Z,55.001709
2026-01-02T23:56:39.290Z,57.239826
2026-01-02T23:56:39.491Z,67.563141
2026-01-02T23:56:39.688Z,56.960064
