Timestamp,PDoA,AoA
2026-01-04T02:47:19.110Z,-135.182236,-55.33961132582743
2026-01-04T02:47:19.308Z,-128.104187,-51.21206745051977
2026-01-04T02:47:19.509Z,-123.012474,-48.45962469229128
2026-01-04T02:47:19.716Z,-134.063171,-54.65943724147353
2026-01-04T02:47:19.914Z,-120.186852,-46.99512407934041
2026-01-04T02:47:20.126Z,-129.950638,-52.25143812997514
2026-01-04T02:47:20.327Z,-135.406036,-55.47704131411545
2026-01-04T02:47:20.526Z,-127.264893,-50.74732516152094
2026-01-04T02:47:20.723Z,-136.581055,-56.206620905330034
2026-01-04T02:47:20.922Z,-135.797714,-55.71872182755739
2026-01-04T02:47:21.121Z,-133.839355,-54.524765569625515
2026-01-04T02:47:21.327Z,-130.845886,-52.7642212309381
2026-01-04T02:47:21.526Z,-136.692963,-56.276828970246605
2026-01-04T02:47:21.724Z,-129.055389,-51.74451475280136
2026-01-04T02:47:21.925Z,-130.845886,-52.7642212309381
2026-01-04T02:47:22.126Z,-129.894684,-52.21958570990239
2026-01-04T02:47:22.327Z,-133.783401,-54.4911670266926
2026-01-04T02:47:22.528Z,-136.133423,-55.92706371426688
2026-01-04T02:47:22.739Z,-135.406036,-55.47704131411545
2026-01-04T02:47:22.940Z,-128.831573,-51.61866962945118
2026-01-04T02:47:23.140Z,-118.172546,-45.975220212971855
2026-01-04T02:47:23.342Z,-125.866074,-49.98282914488129
2026-01-04T02:47:23.537Z,-138.287613,-57.291705643826326
2026-01-04T02:47:23.732Z,-134.734604,-55.06615156112676
2026-01-04T02:47:23.934Z,-128.607758,-51.49317307630023
2026-01-04T02:47:24.135Z,-130.901825,-52.79646231429258
2026-01-04T02:47:24.335Z,-125.866074,-49.98282914488129
2026-01-04T02:47:24.538Z,-132.49649,-53.72587679457635
2026-01-04T02:47:24.737Z,-138.791199,-57.618052925036785
2026-01-04T02:47:24.936Z,-130.566116,-52.60332930351458
2026-01-04T02:47:25.138Z,-134.510788,-54.93012039489095
2026-01-04T02:47:25.342Z,-134.734604,-55.06615156112676
2026-01-04T02:47:25.545Z,-131.517319,-53.15280275922441
2026-01-04T02:47:25.753Z,-132.720306,-53.85796639672605
2026-01-04T02:47:25.954Z,-133.391739,-54.25675487711295
2026-01-04T02:47:26.151Z,-134.510788,-54.93012039489095
2026-01-04T02:47:26.353Z,-128.160141,-51.24321741148916
2026-01-04T02:47:26.551Z,-142.092407,-59.83517226189238
2026-01-04T02:47:26.755Z,-125.92202,-50.01317100155518
2026-01-04T02:47:26.947Z,-134.510788,-54.93012039489095
2026-01-04T02:47:27.148Z,-129.279205,-51.87071140992795
2026-01-04T02:47:27.348Z,-127.992279,-51.14983065102893
2026-01-04T02:47:27.547Z,-130.454208,-52.539137841193195
2026-01-04T02:47:27.748Z,-135.406036,-55.47704131411545
2026-01-04T02:47:27.947Z,-123.124374,-48.51848607402792
2026-01-04T02:47:28.148Z,-127.041084,-50.624173743442924
2026-01-04T02:47:28.358Z,-134.902466,-55.16847910491339
2026-01-04T02:47:28.567Z,-132.49649,-53.72587679457635
2026-01-04T02:47:28.768Z,-134.454849,-54.89619354828522
2026-01-04T02:47:28.969Z,-133.391739,-54.25675487711295
2026-01-04T02:47:29.166Z,-139.686432,-58.20556799024687
2026-01-04T02:47:29.370Z,-128.160141,-51.24321741148916
2026-01-04T02:47:29.561Z,-135.685806,-55.64951810889407
2026-01-04T02:47:29.763Z,-131.881012,-53.36475896903835
2026-01-04T02:47:29.960Z,-131.881012,-53.36475896903835
2026-01-04T02:47:30.163Z,-131.293503,-53.02288399557952
2026-01-04T02:47:30.364Z,-134.510788,-54.93012039489095
2026-01-04T02:47:30.563Z,-132.048874,-53.46294335504705
2026-01-04T02:47:30.766Z,-125.81012,-49.952502078955824
2026-01-04T02:47:30.965Z,-142.064438,-59.815773129068255
2026-01-04T02:47:31.168Z,-131.517319,-53.15280275922441
2026-01-04T02:47:31.373Z,-130.174438,-52.37906814111454
2026-01-04T02:47:31.582Z,-134.95842,-55.202646683935264
2026-01-04T02:47:31.781Z,-133.167923,-54.123396233835685
2026-01-04T02:47:31.978Z,-136.972717,-56.452905744409485
2026-01-04T02:47:32.177Z,-128.439911,-51.399284915449385
2026-01-04T02:47:32.368Z,-130.398254,-52.507077285673475
2026-01-04T02:47:32.569Z,-124.243439,-49.1109510401306
2026-01-04T02:47:32.773Z,-135.182236,-55.33961132582743
2026-01-04T02:47:32.978Z,-134.119125,-54.693174937670705
2026-01-04T02:47:33.178Z,-132.608398,-53.791869601987806
2026-01-04T02:47:33.388Z,-140.134064,-58.50300702294569
2026-01-04T02:47:33.580Z,-124.243439,-49.1109510401306
2026-01-04T02:47:33.781Z,-143.183502,-60.60099857514249
2026-01-04T02:47:33.994Z,-122.508896,-48.19557318294662
2026-01-04T02:47:34.195Z,-135.629852,-55.614962078522424
2026-01-04T02:47:34.396Z,-120.746376,-47.281887052662874
2026-01-04T02:47:34.593Z,-129.279205,-51.87071140992795
2026-01-04T02:47:34.790Z,-135.182236,-55.33961132582743
2026-01-04T02:47:34.989Z,-131.601242,-53.201619068510475
2026-01-04T02:47:35.182Z,-131.069687,-52.89335532172669
2026-01-04T02:47:35.382Z,-130.678024,-52.66761497899384
2026-01-04T02:47:35.584Z,-133.615555,-54.39054620094587
2026-01-04T02:47:35.785Z,-132.49649,-53.72587679457635
2026-01-04T02:47:35.992Z,-136.748917,-56.311981372059066
2026-01-04T02:47:36.193Z,-127.768471,-51.02561253206076
2026-01-04T02:47:36.394Z,-131.069687,-52.89335532172669
2026-01-04T02:47:36.591Z,-134.231033,-54.760734633673984
2026-01-04T02:47:36.808Z,-125.866074,-49.98282914488129
2026-01-04T02:47:37.009Z,-136.301285,-56.031660331501776
2026-01-04T02:47:37.208Z,-133.615555,-54.39054620094587
2026-01-04T02:47:37.401Z,-134.510788,-54.93012039489095
2026-01-04T02:47:37.602Z,-127.936325,-51.11874370906772
2026-01-04T02:47:37.803Z,-136.02153,-55.85749853502468
2026-01-04T02:47:38.000Z,-128.551804,-51.46185276659623
2026-01-04T02:47:38.199Z,-128.831573,-51.61866962945118
2026-01-04T02:47:38.400Z,-126.761314,-50.47068169312443
2026-01-04T02:47:38.599Z,-132.048874,-53.46294335504705
2026-01-04T02:47:38.804Z,-139.910248,-58.35397433249849
2026-01-04T02:47:39.001Z,-130.398254,-52.507077285673475
